-4	0.00013383	3.16712E-05
-3.9	0.000198655	4.80963E-05
-3.8	0.000291947	7.2348E-05
-3.7	0.00042478	0.0001078
-3.6	0.000611902	0.000159109
-3.5	0.000872683	0.000232629
-3.4	0.001232219	0.000336929
-3.3	0.001722569	0.000483424
-3.2	0.002384088	0.000687138
-3.1	0.003266819	0.000967603
-3	0.004431848	0.001349898
-2.9	0.005952532	0.001865813
-2.8	0.007915452	0.00255513
-2.7	0.010420935	0.003466974
-2.6	0.013582969	0.004661188
-2.5	0.0175283	0.006209665
-2.4	0.02239453	0.008197536
-2.3	0.028327038	0.01072411
-2.2	0.035474593	0.013903448
-2.1	0.043983596	0.017864421
-2	0.053990967	0.022750132
-1.9	0.065615815	0.02871656
-1.8	0.078950158	0.035930319
-1.7	0.094049077	0.044565463
-1.6	0.110920835	0.054799292
-1.5	0.129517596	0.066807201
-1.4	0.149727466	0.080756659
-1.3	0.171368592	0.096800485
-1.2	0.194186055	0.11506967
-1.1	0.217852177	0.135666061
-1	0.241970725	0.158655254
-0.9	0.26608525	0.184060125
-0.8	0.289691553	0.211855399
-0.7	0.312253933	0.241963652
-0.6	0.333224603	0.274253118
-0.5	0.352065327	0.308537539
-0.4	0.36827014	0.344578258
-0.3	0.381387815	0.382088578
-0.2	0.391042694	0.420740291
-0.1	0.396952547	0.460172163
0	0.39894228	0.5
0.1	0.396952547	0.539827837
0.2	0.391042694	0.579259709
0.3	0.381387815	0.617911422
0.4	0.36827014	0.655421742
0.5	0.352065327	0.691462461
0.6	0.333224603	0.725746882
0.7	0.312253933	0.758036348
0.8	0.289691553	0.788144601
0.9	0.26608525	0.815939875
1	0.241970725	0.841344746
1.1	0.217852177	0.864333939
1.2	0.194186055	0.88493033
1.3	0.171368592	0.903199515
1.4	0.149727466	0.919243341
1.5	0.129517596	0.933192799
1.6	0.110920835	0.945200708
1.7	0.094049077	0.955434537
1.8	0.078950158	0.964069681
1.9	0.065615815	0.97128344
2	0.053990967	0.977249868
2.1	0.043983596	0.982135579
2.2	0.035474593	0.986096552
2.3	0.028327038	0.98927589
2.4	0.02239453	0.991802464
2.5	0.0175283	0.993790335
2.6	0.013582969	0.995338812
2.7	0.010420935	0.996533026
2.8	0.007915452	0.99744487
2.9	0.005952532	0.998134187
3	0.004431848	0.998650102
3.1	0.003266819	0.999032397
3.2	0.002384088	0.999312862
3.3	0.001722569	0.999516576
3.4	0.001232219	0.999663071
3.5	0.000872683	0.999767371
3.6	0.000611902	0.999840891
3.7	0.00042478	0.9998922
3.8	0.000291947	0.999927652
3.9	0.000198655	0.999951904
4	0.00013383	0.999968329
